"","season","episode","episode_name","imdb_rating","total_votes","air_date","halloween","valentine","christmas","michael","lines_jim","lines_pam","lines_michael","lines_dwight"
"1",1,1,"Pilot",7.6,3706,2005-03-24,"0","0","0","1",0.157205240174672,0.179039301310044,0.353711790393013,0.126637554585153
"2",1,2,"Diversity Day",8.3,3566,2005-03-29,"0","0","0","1",0.123152709359606,0.0591133004926108,0.369458128078818,0.083743842364532
"3",1,3,"Health Care",7.9,2983,2005-04-05,"0","0","0","1",0.172131147540984,0.131147540983607,0.229508196721311,0.254098360655738
"4",1,4,"The Alliance",8.1,2886,2005-04-12,"0","0","0","1",0.201646090534979,0.0905349794238683,0.279835390946502,0.193415637860082
"5",1,5,"Basketball",8.4,3179,2005-04-19,"0","0","0","1",0.091304347826087,0.0608695652173913,0.452173913043478,0.108695652173913
"6",1,6,"Hot Girl",7.8,2852,2005-04-26,"0","0","0","1",0.158959537572254,0.130057803468208,0.30635838150289,0.0809248554913295
"7",2,1,"The Dundies",8.7,3213,2005-09-20,"0","0","0","1",0.125,0.16015625,0.375,0.125
"8",2,2,"Sexual Harassment",8.2,2736,2005-09-27,"0","0","0","1",0.0565371024734982,0.0954063604240283,0.353356890459364,0.03886925795053
"9",2,3,"Office Olympics",8.4,2742,2005-10-04,"0","0","0","1",0.195729537366548,0.117437722419929,0.295373665480427,0.195729537366548
"10",2,4,"The Fire",8.4,2713,2005-10-11,"0","0","0","1",0.15987460815047,0.0689655172413793,0.216300940438871,0.203761755485893
"11",2,5,"Halloween",8.2,2561,2005-10-18,"1","0","0","1",0.111524163568773,0.100371747211896,0.401486988847584,0.122676579925651
"12",2,6,"The Fight",8.2,2550,2005-11-01,"0","0","0","1",0.182835820895522,0.0932835820895522,0.317164179104478,0.238805970149254
"13",2,7,"The Client",8.6,2631,2005-11-08,"0","0","0","1",0.15748031496063,0.125984251968504,0.28740157480315,0.0866141732283465
"14",2,8,"Performance Review",8.2,2416,2005-11-15,"0","0","0","1",0.0952380952380952,0.10989010989011,0.377289377289377,0.153846153846154
"15",2,9,"E-Mail Surveilance",8.4,2527,2005-11-22,"0","0","0","1",0.192727272727273,0.138181818181818,0.290909090909091,0.123636363636364
"16",2,10,"Christmas Party",8.8,2755,2005-12-06,"0","0","1","1",0.0954063604240283,0.0600706713780919,0.307420494699647,0.148409893992933
"17",2,11,"Booze Cruise",8.6,2679,2006-01-05,"0","0","0","1",0.130044843049327,0.0762331838565022,0.336322869955157,0.0986547085201794
"18",2,12,"The Injury",9,3282,2006-01-12,"0","0","0","1",0.152354570637119,0.157894736842105,0.343490304709141,0.166204986149584
"19",2,13,"The Secret",8.3,2363,2006-01-19,"0","0","0","1",0.190839694656489,0.103053435114504,0.351145038167939,0.145038167938931
"20",2,14,"The Carpet",7.9,2342,2006-01-26,"0","0","0","1",0.103448275862069,0.10727969348659,0.386973180076628,0.0957854406130268
"21",2,15,"Boys & Girls",8.2,2323,2006-02-02,"0","0","0","1",0.0782918149466192,0.0925266903914591,0.270462633451957,0.0427046263345196
"22",2,16,"Valentine's Day",8.3,2345,2006-02-09,"0","1","0","1",0.0808080808080808,0.116161616161616,0.227272727272727,0.095959595959596
"23",2,17,"Dwight's Speech",8.4,2463,2006-03-02,"0","0","0","1",0.169902912621359,0.0922330097087379,0.252427184466019,0.237864077669903
"24",2,18,"Take Your Daughter to Work Day",8.3,2415,2006-03-16,"0","0","0","1",0.0643939393939394,0.0795454545454545,0.291666666666667,0.0871212121212121
"25",2,19,"Michael's Birthday",8.1,2337,2006-03-30,"0","0","0","1",0.0887096774193548,0.104838709677419,0.350806451612903,0.173387096774194
"26",2,20,"Drug Testing",8.4,2397,2006-04-27,"0","0","0","1",0.0938967136150235,0.0704225352112676,0.234741784037559,0.333333333333333
"27",2,21,"Conflict Resolution",8.7,2440,2006-05-04,"0","0","1","1",0.108949416342412,0.0933852140077821,0.342412451361868,0.1284046692607
"28",2,22,"Casino Night",9.3,3644,2006-05-11,"0","0","0","1",0.141304347826087,0.119565217391304,0.255434782608696,0.0842391304347826
"29",3,1,"Gay Witch Hunt",8.9,3087,2006-09-21,"0","0","0","1",0.0780141843971631,0.0425531914893617,0.361702127659574,0.127659574468085
"30",3,2,"The Convention",8.2,2275,2006-09-28,"0","0","0","1",0.107023411371237,0.100334448160535,0.361204013377926,0.123745819397993
"31",3,3,"The Coup",8.5,2388,2006-10-05,"0","0","0","1",0.0463320463320463,0.0656370656370656,0.281853281853282,0.274131274131274
"32",3,4,"Grief Counseling",8,2311,2006-10-12,"0","0","0","1",0.0635593220338983,0.105932203389831,0.351694915254237,0.152542372881356
"33",3,5,"Initiation",8.2,2254,2006-10-19,"0","0","0","1",0.17175572519084,0.198473282442748,0.125954198473282,0.17175572519084
"34",3,6,"Diwali",8,2320,2006-11-02,"0","0","0","1",0.0892018779342723,0.107981220657277,0.262910798122066,0.028169014084507
"35",3,7,"Branch Closing",8.5,2260,2006-11-09,"0","0","0","1",0.0807692307692308,0.0846153846153846,0.257692307692308,0.15
"36",3,8,"The Merger",8.7,2376,2006-11-16,"0","0","0","1",0.139240506329114,0.0759493670886076,0.263713080168776,0.154008438818565
"37",3,9,"The Convict",8.2,2373,2006-11-30,"0","0","0","1",0.162303664921466,0.0837696335078534,0.282722513089005,0.0209424083769634
"38",3,10,"A Benihana Christmas (Parts 1&2)",8.7,2541,2006-12-14,"0","0","1","1",0.0916666666666667,0.11875,0.225,0.127083333333333
"39",3,12,"Back from Vacation",8.5,2255,2007-01-04,"0","0","0","1",0.115740740740741,0.152777777777778,0.324074074074074,0.101851851851852
"40",3,13,"Traveling Salesmen",8.6,2316,2007-01-11,"0","0","0","1",0.147727272727273,0.0984848484848485,0.181818181818182,0.125
"41",3,14,"The Return",8.8,2430,2007-01-18,"0","0","0","1",0.120772946859903,0.0483091787439614,0.231884057971014,0.120772946859903
"42",3,15,"Ben Franklin",8.2,2254,2007-02-01,"0","0","0","1",0.0972762645914397,0.116731517509728,0.299610894941634,0.11284046692607
"43",3,16,"Phyllis' Wedding",8.3,2283,2007-02-08,"0","0","0","1",0.105555555555556,0.0833333333333333,0.272222222222222,0.138888888888889
"44",3,17,"Business School",8.8,2622,2007-02-15,"0","0","0","1",0.0594594594594595,0.140540540540541,0.243243243243243,0.118918918918919
"45",3,18,"Cocktails",8.5,2264,2007-02-22,"0","0","1","1",0.0724137931034483,0.0758620689655172,0.289655172413793,0.110344827586207
"46",3,19,"The Negotiation",8.9,2555,2007-04-05,"0","0","0","1",0.115492957746479,0.0450704225352113,0.298591549295775,0.0507042253521127
"47",3,20,"Safety Training",8.8,2424,2007-04-12,"0","0","0","1",0.0827586206896552,0.0655172413793104,0.268965517241379,0.189655172413793
"48",3,21,"Product Recall",8.7,2409,2007-04-26,"0","0","0","1",0.178988326848249,0.0544747081712062,0.206225680933852,0.120622568093385
"49",3,22,"Women's Appreciation",8.8,2403,2007-05-03,"0","0","0","1",0.108391608391608,0.122377622377622,0.27972027972028,0.146853146853147
"50",3,23,"Beach Games",9.1,2783,2007-05-10,"0","0","0","1",0.0782918149466192,0.0818505338078292,0.373665480427046,0.135231316725979
"51",3,24,"The Job (Parts 1&2)",9.3,3010,2007-05-17,"0","0","0","1",0.127952755905512,0.0905511811023622,0.232283464566929,0.118110236220472
"52",4,1,"Fun Run (Parts 1&2)",8.8,2826,2007-09-27,"0","0","0","1",0.102669404517454,0.166324435318275,0.26694045174538,0.11088295687885
"53",4,3,"Dunder Mifflin Infinity (Parts 1&2)",8.4,2248,2007-10-04,"0","0","0","1",0.0744101633393829,0.0907441016333938,0.252268602540835,0.121597096188748
"54",4,5,"Launch Party (Parts 1&2)",8.5,2173,2007-10-11,"0","0","0","1",0.122935779816514,0.0440366972477064,0.269724770642202,0.152293577981651
"55",4,7,"Money (Parts 1&2)",8.7,2341,2007-10-18,"0","0","0","1",0.0907079646017699,0.110619469026549,0.300884955752212,0.086283185840708
"56",4,9,"Local Ad",8.8,2388,2007-10-25,"0","0","0","1",0.134615384615385,0.0865384615384615,0.293269230769231,0.0480769230769231
"57",4,10,"Branch Wars",8.5,2185,2007-11-01,"0","0","0","1",0.245551601423488,0.0640569395017794,0.291814946619217,0.135231316725979
"58",4,11,"Survivor Man",8.3,2110,2007-11-08,"0","0","0","1",0.291845493562232,0.0472103004291846,0.278969957081545,0.107296137339056
"59",4,12,"The Deposition",8.7,2202,2007-11-15,"0","0","0","1",0.0573770491803279,0.0860655737704918,0.323770491803279,0.0204918032786885
"60",4,13,"Dinner Party",9.3,4095,2008-04-10,"0","0","0","1",0.134751773049645,0.099290780141844,0.315602836879433,0.0567375886524823
"61",4,14,"Chair Model",8.1,2095,2008-04-17,"0","0","0","1",0.0954545454545455,0.159090909090909,0.327272727272727,0.0772727272727273
"62",4,15,"Night Out",8.7,2179,2008-04-24,"0","0","1","1",0.12012987012987,0.0422077922077922,0.282467532467532,0.136363636363636
"63",4,16,"Did I Stutter?",8.4,2087,2008-05-01,"0","0","1","1",0.0901960784313725,0.0627450980392157,0.341176470588235,0.125490196078431
"64",4,17,"Job Fair",7.9,1977,2008-05-08,"0","0","0","1",0.101063829787234,0.175531914893617,0.23936170212766,0.0531914893617021
"65",4,18,"Goodbye, Toby (Parts 1&2)",9.3,3010,2008-05-15,"0","0","0","1",0.114341085271318,0.0813953488372093,0.308139534883721,0.0717054263565891
"66",5,1,"Weight Loss (Parts 1&2)",8.8,2501,2008-09-25,"0","0","0","1",0.124260355029586,0.0710059171597633,0.226824457593688,0.0966469428007889
"67",5,3,"Business Ethics",8.3,1990,2008-10-09,"0","0","0","1",0.122727272727273,0.0409090909090909,0.263636363636364,0.0636363636363636
"68",5,4,"Baby Shower",8.1,1954,2008-10-16,"0","0","0","1",0.1,0.0925925925925926,0.292592592592593,0.12962962962963
"69",5,5,"Crime Aid",8.1,1884,2008-10-23,"0","0","0","1",0.0783582089552239,0.0186567164179104,0.279850746268657,0.115671641791045
"70",5,6,"Employee Transfer",8.1,1962,2008-10-30,"1","0","0","1",0.0847457627118644,0.0847457627118644,0.2,0.122033898305085
"71",5,7,"Customer Survey",8.5,2018,2008-11-06,"0","0","0","1",0.283378746594005,0.0817438692098093,0.171662125340599,0.228882833787466
"72",5,8,"Business Trip",8.2,1867,2008-11-13,"0","0","0","1",0.0676923076923077,0.0430769230769231,0.236923076923077,0.0492307692307692
"73",5,9,"Frame Toby",8.6,2089,2008-11-20,"0","0","0","1",0.104026845637584,0.087248322147651,0.302013422818792,0.12751677852349
"74",5,10,"The Surplus",8.7,2070,2008-12-04,"0","0","0","1",0.0959752321981424,0.179566563467492,0.309597523219814,0.0897832817337461
"75",5,11,"Moroccan Christmas",8.4,1951,2008-12-11,"0","0","1","1",0.108333333333333,0.025,0.270833333333333,0.1125
"76",5,12,"The Duel",8.7,2011,2009-01-15,"0","0","0","1",0.116838487972509,0.0309278350515464,0.178694158075601,0.22680412371134
"77",5,13,"Prince Family Paper",8.1,1954,2009-01-22,"0","0","0","1",0.049618320610687,0.0190839694656489,0.343511450381679,0.278625954198473
"78",5,14,"Stress Relief (Parts 1&2)",9.6,5948,2009-02-01,"0","0","0","1",0.0841346153846154,0.0769230769230769,0.283653846153846,0.175480769230769
"79",5,16,"Lecture Circuit (Part 1)",8.2,1838,2009-02-05,"0","0","0","1",0.143459915611814,0.147679324894515,0.232067510548523,0.105485232067511
"80",5,17,"Lecture Circuit (Part 2)",8.2,1808,2009-02-12,"0","0","0","1",0.130952380952381,0.150793650793651,0.198412698412698,0.130952380952381
"81",5,18,"Blood Drive",8.1,1847,2009-03-05,"0","1","0","1",0.116666666666667,0.106666666666667,0.286666666666667,0.103333333333333
"82",5,19,"Golden Ticket",8.7,1987,2009-03-12,"0","0","0","1",0.12540192926045,0.0771704180064309,0.363344051446945,0.228295819935691
"83",5,20,"New Boss",8.3,1875,2009-03-19,"0","0","0","1",0.103448275862069,0.0482758620689655,0.358620689655172,0.0724137931034483
"84",5,21,"Two Weeks",8.4,1864,2009-03-26,"0","0","0","1",0.0973782771535581,0.142322097378277,0.329588014981273,0.0449438202247191
"85",5,22,"Dream Team",8.3,1863,2009-04-09,"0","0","0","1",0.113268608414239,0.210355987055016,0.252427184466019,0.0550161812297735
"86",5,23,"The Michael Scott Paper Company",8.7,2032,2009-04-09,"0","0","0","1",0.109375,0.17578125,0.1796875,0.109375
"87",5,24,"Heavy Competition",8.7,1913,2009-04-16,"0","0","0","1",0.0797101449275362,0.0543478260869565,0.326086956521739,0.300724637681159
"88",5,25,"Broke",9.1,2509,2009-04-23,"0","0","0","1",0.100694444444444,0.114583333333333,0.263888888888889,0.0868055555555556
"89",5,26,"Casual Friday",8.3,1845,2009-04-30,"0","0","0","1",0.0909090909090909,0.0940438871473354,0.297805642633229,0.153605015673981
"90",5,27,"Cafe Disco",8.7,2107,2009-05-07,"0","0","0","1",0.062043795620438,0.0693430656934307,0.306569343065693,0.102189781021898
"91",5,28,"Company Picnic",8.9,2232,2009-05-14,"0","0","0","1",0.0879120879120879,0.0915750915750916,0.201465201465201,0.15018315018315
"92",6,1,"Gossip",8.7,2127,2009-09-17,"0","0","0","1",0.126506024096386,0.0813253012048193,0.286144578313253,0.0602409638554217
"93",6,2,"The Meeting",8.2,1755,2009-09-24,"0","0","0","1",0.0708955223880597,0.0895522388059701,0.264925373134328,0.119402985074627
"94",6,3,"The Promotion",8,1751,2009-10-01,"0","0","0","1",0.299342105263158,0.0592105263157895,0.282894736842105,0.0953947368421053
"95",6,4,"Niagara (Parts 1&2)",9.3,3579,2009-10-08,"0","0","0","1",0.101449275362319,0.126811594202899,0.233695652173913,0.152173913043478
"96",6,6,"Mafia",7.7,1829,2009-10-15,"0","0","0","1",0.0396600566572238,0.0141643059490085,0.345609065155807,0.141643059490085
"97",6,7,"The Lover",8.6,1917,2009-10-22,"0","0","0","1",0.19047619047619,0.19047619047619,0.26984126984127,0.0952380952380952
"98",6,8,"Koi Pond",8.2,1739,2009-10-29,"0","0","0","1",0.153605015673981,0.122257053291536,0.266457680250784,0.0438871473354232
"99",6,9,"Double Date",8.2,1709,2009-11-05,"0","0","0","1",0.0708446866485014,0.190735694822888,0.310626702997275,0.136239782016349
"100",6,10,"Murder",8.6,2016,2009-11-12,"0","0","0","1",0.190283400809717,0.048582995951417,0.271255060728745,0.121457489878543
"101",6,11,"Shareholder Meeting",8.2,1726,2009-11-19,"0","0","0","1",0.138576779026217,0.0449438202247191,0.265917602996255,0.0973782771535581
"102",6,12,"Scott's Tots",8.3,1981,2009-12-03,"0","0","0","1",0.143396226415094,0.0528301886792453,0.256603773584906,0.135849056603774
"103",6,13,"Secret Santa",8.5,1844,2009-12-10,"0","0","1","1",0.116766467065868,0.0479041916167665,0.284431137724551,0.110778443113772
"104",6,14,"The Banker",6.8,2288,2010-01-21,"0","0","0","1",0,0.0381679389312977,0.33587786259542,0.129770992366412
"105",6,15,"Sabre",7.8,1681,2010-02-04,"0","0","0","1",0.0984848484848485,0.0946969696969697,0.310606060606061,0.0340909090909091
"106",6,16,"The Manager and the Salesman",8.1,1670,2010-02-11,"0","1","0","1",0.111864406779661,0.0169491525423729,0.230508474576271,0.132203389830508
"107",6,17,"The Delivery (Parts 1&2)",8.4,1750,2010-03-04,"0","0","0","1",0.2144,0.2016,0.1872,0.0752
"108",6,19,"St. Patrick's Day",7.8,1642,2010-03-11,"0","0","0","1",0.14336917562724,0.003584229390681,0.186379928315412,0.103942652329749
"109",6,20,"New Leads",7.9,1609,2010-03-18,"0","0","0","1",0.181494661921708,0.0106761565836299,0.302491103202847,0.153024911032028
"110",6,21,"Happy Hour",8.6,1873,2010-03-25,"0","0","0","1",0.0919220055710306,0.0863509749303621,0.206128133704735,0.0947075208913649
"111",6,22,"Secretary's Day",7.9,1613,2010-04-22,"0","0","0","1",0.0299625468164794,0.104868913857678,0.172284644194757,0.0636704119850187
"112",6,23,"Body Language",8,1633,2010-04-29,"0","0","0","1",0.11280487804878,0.0823170731707317,0.26219512195122,0.13719512195122
"113",6,24,"The Cover",8.2,1627,2010-05-06,"0","0","0","1",0.0454545454545455,0.136363636363636,0.298701298701299,0.123376623376623
"114",6,25,"The Chump",7.9,1571,2010-05-13,"0","0","0","1",0.0644171779141104,0.0920245398773006,0.251533742331288,0.110429447852761
"115",6,26,"Whistleblower",8,1625,2010-05-20,"0","0","0","1",0.0530612244897959,0.0693877551020408,0.273469387755102,0.0775510204081633
"116",7,1,"Nepotism",8.4,1897,2010-09-23,"0","0","0","1",0.0916666666666667,0.104166666666667,0.241666666666667,0.0875
"117",7,2,"Counseling",8.3,1684,2010-09-30,"0","0","0","1",0.126865671641791,0.145522388059701,0.115671641791045,0.17910447761194
"118",7,3,"Andy's Play",8.2,1802,2010-10-07,"0","0","0","1",0.0829694323144105,0.074235807860262,0.187772925764192,0.074235807860262
"119",7,4,"s*x Ed",7.9,1650,2010-10-14,"0","0","0","1",0.0124610591900312,0.0249221183800623,0.274143302180685,0.127725856697819
"120",7,5,"The Sting",7.8,1612,2010-10-21,"0","0","0","1",0.151282051282051,0.0256410256410256,0.217948717948718,0.143589743589744
"121",7,6,"Costume Contest",8.2,1663,2010-10-28,"1","0","0","1",0.0950704225352113,0.0845070422535211,0.207746478873239,0.0492957746478873
"122",7,7,"Christening",7.5,1668,2010-11-04,"0","0","0","1",0.132867132867133,0.115384615384615,0.258741258741259,0.0559440559440559
"123",7,8,"Viewing Party",7.9,1633,2010-11-11,"0","0","0","1",0.0647482014388489,0.0827338129496403,0.201438848920863,0.0935251798561151
"124",7,9,"WUPHF.com",7.8,1598,2010-11-18,"0","0","0","1",0.0781758957654723,0.0912052117263844,0.214983713355049,0.0781758957654723
"125",7,10,"China",8.2,1661,2010-12-02,"0","0","0","1",0.0870967741935484,0.145161290322581,0.180645161290323,0.154838709677419
"126",7,11,"Classy Christmas (Parts 1&2)",8.9,2138,2010-12-09,"0","0","1","1",0.0836120401337793,0.115384615384615,0.217391304347826,0.0635451505016722
"127",7,13,"Ultimatum",8.3,1695,2011-01-20,"0","0","0","1",0.0250783699059561,0.0971786833855799,0.235109717868339,0.106583072100313
"128",7,14,"The Seminar",7.7,1616,2011-01-27,"0","0","0","1",0.0845070422535211,0.0633802816901408,0.130281690140845,0.0669014084507042
"129",7,15,"The Search",8.5,1742,2011-02-03,"0","0","0","1",0.103225806451613,0.116129032258065,0.135483870967742,0.0838709677419355
"130",7,16,"PDA",8.4,1736,2011-02-10,"0","1","0","1",0.0653409090909091,0.0681818181818182,0.207386363636364,0.0681818181818182
"131",7,17,"Threat Level Midnight",9.3,3525,2011-02-17,"0","0","0","1",0.0309278350515464,0.0412371134020619,0.38659793814433,0.0206185567010309
"132",7,18,"Todd Packer",7.5,1581,2011-02-24,"0","0","0","1",0.121405750798722,0.115015974440895,0.182108626198083,0.130990415335463
"133",7,19,"Garage Sale",9.2,2742,2011-03-24,"0","0","0","1",0.0827586206896552,0.110344827586207,0.248275862068966,0.106896551724138
"134",7,20,"Training Day",7.8,1655,2011-04-14,"0","0","0","1",0.040983606557377,0.0327868852459016,0.278688524590164,0.040983606557377
"135",7,21,"Michael's Last Dundies",8.9,2182,2011-04-21,"0","0","0","1",0.0877862595419847,0.0572519083969466,0.312977099236641,0.049618320610687
"136",7,22,"Goodbye, Michael",9.7,5749,2011-04-28,"0","0","0","1",0.0547112462006079,0.060790273556231,0.35258358662614,0.0486322188449848
"137",7,23,"The Inner Circle",7.7,1634,2011-05-05,"0","0","0","1",0.150943396226415,0.0905660377358491,0,0.0754716981132075
"138",7,24,"Dwight K. Schrute, (Acting) Manager",8.7,1840,2011-05-12,"0","0","0","1",0.108949416342412,0.0428015564202335,0,0.284046692607004
"139",7,25,"Search Committee (Parts 1&2)",8.8,2040,2011-05-19,"0","0","0","1",0.182186234817814,0.0647773279352227,0,0.0890688259109312
"140",8,1,"The List",8.2,1829,2011-09-22,"0","0","0","0",0.146017699115044,0.101769911504425,0,0.123893805309735
"141",8,2,"The Incentive",8.2,1668,2011-09-29,"0","0","0","0",0.13448275862069,0.113793103448276,0,0.0724137931034483
"142",8,3,"Lotto",7.3,1601,2011-10-06,"0","0","0","0",0.149305555555556,0.0798611111111111,0,0.107638888888889
"143",8,4,"Garden Party",8.1,1717,2011-10-13,"0","0","0","0",0.0912863070539419,0.04149377593361,0,0.107883817427386
"144",8,5,"Spooked",7.6,1543,2011-10-27,"1","0","0","0",0.0946969696969697,0.0909090909090909,0,0.0681818181818182
"145",8,6,"Doomsday",7.8,1476,2011-11-03,"0","0","0","0",0.122448979591837,0.0578231292517007,0,0.163265306122449
"146",8,7,"Pam's Replacement",7.7,1563,2011-11-10,"0","0","0","0",0.124610591900312,0.202492211838006,0,0.171339563862928
"147",8,8,"Gettysburg",7,1584,2011-11-17,"0","0","0","0",0.0672268907563025,0.0756302521008403,0,0.109243697478992
"148",8,9,"Mrs. California",7.7,1553,2011-12-01,"0","0","0","0",0.0935251798561151,0,0,0.172661870503597
"149",8,10,"Christmas Wishes",8,1547,2011-12-08,"0","0","1","0",0.129032258064516,0,0,0.0741935483870968
"150",8,11,"Trivia",7.9,1488,2012-01-12,"0","0","0","0",0.0717299578059072,0,0,0.143459915611814
"151",8,12,"Pool Party",8,1612,2012-01-19,"0","0","0","0",0.0769230769230769,0,0,0.135531135531136
"152",8,13,"Jury Duty",7.5,1478,2012-02-02,"0","0","0","0",0.179331306990881,0.0729483282674772,0,0.173252279635258
"153",8,14,"Special Project",7.8,1432,2012-02-09,"0","0","0","0",0.103448275862069,0.1,0,0.231034482758621
"154",8,15,"Tallahassee",7.9,1522,2012-02-16,"0","0","0","0",0.130612244897959,0.0408163265306122,0,0.257142857142857
"155",8,16,"After Hours",8.1,1567,2012-02-23,"0","0","0","0",0.162241887905605,0.0442477876106195,0,0.176991150442478
"156",8,17,"Test The Store",7.8,1478,2012-03-01,"0","0","0","0",0.108108108108108,0.0386100386100386,0,0.204633204633205
"157",8,18,"Last Day In Florida",7.8,1429,2012-03-08,"0","0","0","0",0.170454545454545,0.0378787878787879,0,0.170454545454545
"158",8,19,"Get The Girl",6.7,1642,2012-03-15,"0","0","0","0",0.145593869731801,0.0651340996168582,0,0.0804597701149425
"159",8,20,"Welcome Party",7.2,1489,2012-04-12,"0","0","0","0",0.127035830618893,0.104234527687296,0,0.0716612377850163
"160",8,21,"Angry Andy",7.1,1585,2012-04-19,"0","0","0","0",0.0650684931506849,0.0993150684931507,0,0.0547945205479452
"161",8,22,"Fundraiser",7.1,1453,2012-04-26,"0","0","0","0",0.100418410041841,0.0920502092050209,0,0.0627615062761506
"162",8,23,"Turf War",7.7,1393,2012-05-03,"0","0","0","0",0.166666666666667,0.0798611111111111,0,0.194444444444444
"163",8,24,"Free Family Portrait Studio",7.8,1464,2012-05-10,"0","0","0","0",0.105084745762712,0.0745762711864407,0,0.0915254237288136
"164",9,1,"The New Guys",7.7,1577,2012-09-20,"0","0","0","0",0.0933333333333333,0.0844444444444444,0,0.186666666666667
"165",9,2,"Roy's Wedding",7.2,1477,2012-09-27,"0","0","0","0",0.131756756756757,0.114864864864865,0,0.10472972972973
"166",9,3,"Andy's Ancestry",7.5,1461,2012-10-04,"0","0","0","0",0.0781893004115226,0.139917695473251,0,0.0987654320987654
"167",9,4,"Work Bus",7.9,1551,2012-10-18,"0","0","0","0",0.1875,0.090625,0,0.125
"168",9,5,"Here Comes Treble",7.1,1515,2012-10-25,"1","0","0","0",0.11986301369863,0.10958904109589,0,0.133561643835616
"169",9,6,"The Boat",7.8,1455,2012-11-08,"0","0","0","0",0.0318021201413428,0.03886925795053,0,0.120141342756184
"170",9,7,"The Whale",7.7,1406,2012-11-15,"0","0","0","0",0.0748299319727891,0.153061224489796,0,0.180272108843537
"171",9,8,"The Target",7.8,1438,2012-11-29,"0","0","0","0",0.0900621118012422,0.0527950310559006,0,0.177018633540373
"172",9,9,"Dwight Christmas",8.4,1634,2012-12-06,"0","0","1","0",0.202090592334495,0.111498257839721,0,0.205574912891986
"173",9,10,"Lice",7.7,1470,2013-01-10,"0","0","0","0",0.110671936758893,0.173913043478261,0,0.0711462450592885
"174",9,11,"Suit Warehouse",7.9,1441,2013-01-17,"0","0","0","0",0.0671641791044776,0.0858208955223881,0,0.152985074626866
"175",9,12,"Customer Loyalty",8,1508,2013-01-24,"0","0","0","0",0.130742049469965,0.169611307420495,0,0.15547703180212
"176",9,13,"Junior Salesman",7.7,1394,2013-01-31,"0","0","0","0",0.161290322580645,0.0860215053763441,0,0.311827956989247
"177",9,14,"Vandalism",7.6,1402,2013-01-31,"0","0","0","0",0.115384615384615,0.219230769230769,0,0.142307692307692
"178",9,15,"Couples Discount",7.4,1407,2013-02-07,"0","1","0","0",0.1,0.107692307692308,0,0.123076923076923
"179",9,16,"Moving On",8.2,1572,2013-02-14,"0","0","0","0",0.0558882235528942,0.109780439121756,0,0.0878243512974052
"180",9,17,"The Farm",7.5,1656,2013-03-14,"0","0","0","0",0.0275229357798165,0.0963302752293578,0,0.23394495412844
"181",9,18,"Promos",8,1445,2013-04-04,"0","0","0","0",0.0974842767295598,0.132075471698113,0,0.116352201257862
"182",9,19,"Stairmageddon",8,1484,2013-04-11,"0","0","0","0",0.0549450549450549,0.032967032967033,0,0.223443223443223
"183",9,20,"Paper Airplane",8,1482,2013-04-25,"0","0","0","0",0.0726495726495727,0.094017094017094,0,0.0897435897435897
"184",9,21,"Livin' the Dream",8.9,2041,2013-05-02,"0","0","0","0",0.164921465968586,0.0785340314136126,0,0.141361256544503
"185",9,22,"A.A.R.M",9.3,2860,2013-05-09,"0","0","0","0",0.177644710578842,0.0678642714570858,0,0.173652694610778
"186",9,24,"Finale",9.7,7934,2013-05-16,"0","0","0","0",0.139846743295019,0.0862068965517241,0.00383141762452107,0.145593869731801
